cityFrom,cityTo,price,trip_start_date,trip_end_date,time,date
Bangkok-BKK,Tokyo-NRT,367,2023-09-20,2023-10-03,02:45:15.454334,2023-08-30
Bangkok-BKK,Sydney-SYD,419,2023-10-17,2023-10-28,02:45:15.454334,2023-08-30
Bangkok-BKK,Kuala Lumpur-KUL,69,2023-09-10,2023-09-25,02:45:15.454334,2023-08-30
Bangkok-BKK,Tokyo-NRT,361,2023-10-05,2023-10-21,02:47:27.414418,2023-08-30
Bangkok-BKK,Sydney-SYD,417,2023-10-20,2023-10-29,02:47:27.414418,2023-08-30
Bangkok-BKK,Kuala Lumpur-KUL,69,2023-09-08,2023-09-18,02:47:27.414418,2023-08-30
Bangkok-BKK,Tokyo-NRT,321,2023-09-17,2023-10-12,03:29:21.430765,2023-08-30
Bangkok-BKK,Sydney-SYD,417,2023-10-20,2023-10-28,03:29:21.430765,2023-08-30
Bangkok-BKK,Kuala Lumpur-KUL,69,2023-09-14,2023-09-24,03:29:21.430765,2023-08-30
Bangkok-BKK,Tokyo-NRT,342,2023-09-17,2023-10-13,03:33:15.590093,2023-08-30
Bangkok-BKK,Sydney-SYD,419,2023-10-17,2023-10-24,03:33:15.590093,2023-08-30
Bangkok-BKK,Kuala Lumpur-KUL,69,2023-09-13,2023-09-26,03:33:15.590093,2023-08-30
Bangkok-BKK,Tokyo-NRT,364,2023-09-27,2023-10-17,03:34:52.648422,2023-08-30
Bangkok-BKK,Sydney-SYD,458,2023-10-21,2023-10-29,03:34:52.648422,2023-08-30
Bangkok-BKK,Kuala Lumpur-KUL,69,2023-09-08,2023-09-15,03:34:52.648422,2023-08-30
Bangkok-BKK,Tokyo-NRT,374,2023-09-15,2023-10-12,20:10:36.116698,2023-09-04
Bangkok-BKK,Sydney-SYD,459,2023-10-17,2023-10-25,20:10:36.116698,2023-09-04
Bangkok-BKK,Kuala Lumpur-KUL,69,2023-09-09,2023-09-30,20:10:36.116698,2023-09-04
Bangkok-BKK,Tokyo-NRT,811,2023-09-28,2023-10-09,20:22:59.450292,2023-09-04
Bangkok-BKK,Sydney-SYD,513,2023-09-22,2023-10-17,20:22:59.450292,2023-09-04
Bangkok-BKK,Kuala Lumpur-KUL,71,2023-09-08,2023-09-27,20:22:59.450292,2023-09-04
Bangkok-BKK,Tokyo-NRT,367,2023-09-25,2023-10-08,20:24:37.772994,2023-09-04
Bangkok-BKK,Sydney-SYD,513,2023-09-22,2023-10-11,20:24:37.772994,2023-09-04
Bangkok-BKK,Kuala Lumpur-KUL,68,2023-09-15,2023-09-30,20:24:37.772994,2023-09-04
Bangkok-BKK,Tokyo-NRT,374,2023-10-11,2023-10-20,20:26:55.504850,2023-09-04
Bangkok-BKK,Sydney-SYD,513,2023-09-12,2023-10-03,20:26:55.504850,2023-09-04
Bangkok-BKK,Kuala Lumpur-KUL,71,2023-09-08,2023-09-26,20:26:55.504850,2023-09-04
Bangkok-BKK,Tokyo-NRT,367,2023-09-25,2023-10-20,20:35:12.800254,2023-09-04
Bangkok-BKK,Sydney-SYD,481,2023-11-06,2023-11-19,20:35:12.800254,2023-09-04
Bangkok-BKK,Kuala Lumpur-KUL,77,2023-09-10,2023-09-26,20:35:12.800254,2023-09-04
